nohup: 忽略输入
battery shared data already exists: /home/kkkk24/桌面/attention-GP/py project/battery/generated_data/shared_data.xlsx
battery: run 240 pending tasks with 4 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved battery: method=EI, n_initial=180, repeat=11/30, RMSE_all=13.1767, RMSE_target=5.0825, MAE_all=9.5928
Saved battery: method=D_opt, n_initial=180, repeat=12/30, RMSE_all=14.2333, RMSE_target=18.8940, MAE_all=10.4597
Saved battery: method=K_means, n_initial=180, repeat=12/30, RMSE_all=13.6506, RMSE_target=6.8104, MAE_all=9.6543
Saved battery: method=IMSE, n_initial=180, repeat=11/30, RMSE_all=13.7252, RMSE_target=5.6290, MAE_all=10.0926
Saved battery: method=PM, n_initial=180, repeat=12/30, RMSE_all=31.5139, RMSE_target=7.5073, MAE_all=12.6126
Saved battery: method=EI, n_initial=180, repeat=12/30, RMSE_all=13.3426, RMSE_target=6.1348, MAE_all=9.9096
Saved battery: method=UCB, n_initial=180, repeat=12/30, RMSE_all=13.6346, RMSE_target=6.1650, MAE_all=9.9991
Saved battery: method=G_opt, n_initial=180, repeat=12/30, RMSE_all=13.6735, RMSE_target=5.5741, MAE_all=10.0807
Saved battery: method=LHS, n_initial=180, repeat=13/30, RMSE_all=13.2627, RMSE_target=7.2215, MAE_all=9.5184
Saved battery: method=D_opt, n_initial=180, repeat=13/30, RMSE_all=13.5352, RMSE_target=9.2814, MAE_all=10.2089
Saved battery: method=K_means, n_initial=180, repeat=13/30, RMSE_all=17.6454, RMSE_target=7.7596, MAE_all=10.2839
Saved battery: method=IMSE, n_initial=180, repeat=12/30, RMSE_all=13.3125, RMSE_target=5.3887, MAE_all=9.1567
Saved battery: method=PM, n_initial=180, repeat=13/30, RMSE_all=16.8963, RMSE_target=9.8301, MAE_all=11.1499
Saved battery: method=EI, n_initial=180, repeat=13/30, RMSE_all=36.7154, RMSE_target=5.3474, MAE_all=11.2627
