nohup: 忽略输入
2d+10 shared data already exists: /home/kkkk24/桌面/attention-GP/py project/2d+10/generated_data/shared_data.xlsx
2d+10: run 1680 pending tasks with 12 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
Saved 2d+10: method=D_opt, n_initial=30, repeat=9/30, RMSE_all=0.1343, RMSE_target=0.0934
Saved 2d+10: method=K_means, n_initial=30, repeat=9/30, RMSE_all=0.1460, RMSE_target=0.0817
Saved 2d+10: method=EI, n_initial=30, repeat=8/30, RMSE_all=0.1725, RMSE_target=0.0501
Saved 2d+10: method=G_opt, n_initial=30, repeat=8/30, RMSE_all=0.0785, RMSE_target=0.1015
Saved 2d+10: method=LHS, n_initial=30, repeat=10/30, RMSE_all=0.0827, RMSE_target=0.0497
Saved 2d+10: method=EI, n_initial=30, repeat=7/30, RMSE_all=0.1536, RMSE_target=0.0486
Saved 2d+10: method=IMSE, n_initial=30, repeat=7/30, RMSE_all=0.0731, RMSE_target=0.0638
Saved 2d+10: method=PM, n_initial=30, repeat=8/30, RMSE_all=0.1989, RMSE_target=0.0399
Saved 2d+10: method=D_opt, n_initial=30, repeat=10/30, RMSE_all=0.1354, RMSE_target=0.0989
Saved 2d+10: method=K_means, n_initial=30, repeat=10/30, RMSE_all=0.1361, RMSE_target=0.0867
Saved 2d+10: method=G_opt, n_initial=30, repeat=9/30, RMSE_all=0.0887, RMSE_target=0.0807
Saved 2d+10: method=UCB, n_initial=30, repeat=8/30, RMSE_all=0.1562, RMSE_target=0.0389
Saved 2d+10: method=EI, n_initial=30, repeat=9/30, RMSE_all=0.1183, RMSE_target=0.0445
Saved 2d+10: method=IMSE, n_initial=30, repeat=8/30, RMSE_all=0.0863, RMSE_target=0.1013
Saved 2d+10: method=LHS, n_initial=30, repeat=11/30, RMSE_all=0.1459, RMSE_target=0.0751
Saved 2d+10: method=D_opt, n_initial=30, repeat=11/30, RMSE_all=0.1255, RMSE_target=0.1170
Saved 2d+10: method=PM, n_initial=30, repeat=10/30, RMSE_all=0.1120, RMSE_target=0.0391
Saved 2d+10: method=PM, n_initial=30, repeat=9/30, RMSE_all=0.1638, RMSE_target=0.0362
Saved 2d+10: method=K_means, n_initial=30, repeat=11/30, RMSE_all=0.1349, RMSE_target=0.0951
Saved 2d+10: method=UCB, n_initial=30, repeat=9/30, RMSE_all=0.1834, RMSE_target=0.0729
Saved 2d+10: method=G_opt, n_initial=30, repeat=10/30, RMSE_all=0.0817, RMSE_target=0.0894
Saved 2d+10: method=LHS, n_initial=30, repeat=12/30, RMSE_all=0.1251, RMSE_target=0.1137
Saved 2d+10: method=IMSE, n_initial=30, repeat=9/30, RMSE_all=0.0925, RMSE_target=0.0909
Saved 2d+10: method=D_opt, n_initial=30, repeat=12/30, RMSE_all=0.0883, RMSE_target=0.1181
Saved 2d+10: method=K_means, n_initial=30, repeat=12/30, RMSE_all=0.1658, RMSE_target=0.1465
Saved 2d+10: method=EI, n_initial=30, repeat=10/30, RMSE_all=0.0919, RMSE_target=0.0347
Saved 2d+10: method=UCB, n_initial=30, repeat=11/30, RMSE_all=0.1196, RMSE_target=0.0460
